
Dump of file C:\Windows\System32\shell32.dll

File Type: DLL

  Section contains the following exports for SHELL32.dll

    00000000 characteristics
    7D6DD8B0 time date stamp
        0.00 version
           2 ordinal base
        2000 number of functions
         477 number of names

    ordinal hint RVA      name

        255    0 00223170 AppCompat_RunDLLW
        263    1 0004BA90 AssocCreateForClasses
        267    2 0022A840 AssocElemCreateForKey
        268    3 0022AAE0 AssocGetDetailsOfPropKey
        701    4 00231C60 CDefFolderMenu_Create2
         83    5 00232A60 CIDLData_CreateFromIDArray
        937    6 001C2570 CStorageItem_GetValidatedStorageItemObject
        269    7 00120540 CallFileCopyHook
        272    8 00239D50 CheckEscapesW
        273    9 000A8ED0 CommandLineToArgvW
        274    A 0023D000 Control_RunDLL
        275    B 0023D000 Control_RunDLLA
        276    C 0023D080 Control_RunDLLAsUserW
        277    D 0023D0C0 Control_RunDLLW
        935    E 001C25B0 CreateStorageItemFromPath_FullTrustCaller
        936    F 001C25D0 CreateStorageItemFromPath_FullTrustCaller_ForPackage
        920   10 001C25F0 CreateStorageItemFromPath_PartialTrustCaller
        921   11 001C2610 CreateStorageItemFromShellItem_FullTrustCaller
        925   12 000212D0 CreateStorageItemFromShellItem_FullTrustCaller_ForPackage
        929   13 001C2630 CreateStorageItemFromShellItem_FullTrustCaller_ForPackage_WithProcessHandle
        931   14 001C2650 CreateStorageItemFromShellItem_FullTrustCaller_UseImplicitFlagsAndPackage
        129   15 0010EB40 DAD_AutoScroll
        131   16 000C13C0 DAD_DragEnterEx
         22   17 00254AD0 DAD_DragEnterEx2
        132   18 00254BD0 DAD_DragLeave
        134   19 00254C10 DAD_DragMove
        136   1A 000C13C0 DAD_SetDragImage
        137   1B 000C13C0 DAD_ShowDragImage
        278   1C 000A7610 DllCanUnloadNow
        279   1D 001BBCF0 DllGetActivationFactory
        280   1E 00070ED0 DllGetClassObject
        281   1F 002589C0 DllGetVersion
        282   20 00258A90 DllInstall
        283   21 0010EB40 DllRegisterServer
        284   22 0010EB40 DllUnregisterServer
        285   23 001B1ED0 DoEnvironmentSubstA
        286   24 001B1F80 DoEnvironmentSubstW
        287   25 000C0540 DragAcceptFiles
        288   26 001B6770 DragFinish
        289   27 001B6790 DragQueryFile
        290   28 001B6790 DragQueryFileA
        291   29 001B67C0 DragQueryFileAorW
        292   2A 001B6A90 DragQueryFileW
        293   2B 001B6C60 DragQueryPoint
         64   2C 00259AF0 DriveType
        294   2D 000A47E0 DuplicateIcon
        295   2E 001B20B0 ExtractAssociatedIconA
        296   2F 001B21A0 ExtractAssociatedIconExA
        297   30 001B2290 ExtractAssociatedIconExW
        298   31 001B2500 ExtractAssociatedIconW
        299   32 001B25D0 ExtractIconA
        300   33 001B2660 ExtractIconEx
        301   34 001B2660 ExtractIconExA
        302   35 00099EF0 ExtractIconExW
        303   36 001B26E0 ExtractIconW
        304   37 002688E0 FindExecutableA
        305   38 002689C0 FindExecutableW
        306   39 00089950 FreeIconList
        307   3A 002695A0 GetCurrentProcessExplicitAppUserModelID
         63   3B 0026C4A0 GetFileNameFromBrowse
        919   3C 001C2670 GetSystemPersistedStorageItemList
        154   3D 00273EB0 ILAppendID
         18   3E 00069DF0 ILClone
         19   3F 0009C080 ILCloneFirst
         25   40 00069EF0 ILCombine
        157   41 002740D0 ILCreateFromPath
        189   42 00273FA0 ILCreateFromPathA
        190   43 002740D0 ILCreateFromPathW
         24   44 000C1700 ILFindChild
         16   45 00069DC0 ILFindLastID
