
Dump of file C:\Windows\System32\shlwapi.dll

File Type: DLL

  Section contains the following exports for SHLWAPI.dll

    00000000 characteristics
    E6EB9927 time date stamp
        0.00 version
           1 ordinal base
         930 number of functions
         379 number of names

    ordinal hint RVA      name

        579    0 00005F90 AssocCreate
        584    1 00003FC0 AssocGetPerceivedType
        585    2 00016650 AssocIsDangerous
        586    3 00016E20 AssocQueryKeyA
        587    4 00005DC0 AssocQueryKeyW
        588    5 00016F20 AssocQueryStringA
        589    6 000170D0 AssocQueryStringByKeyA
        590    7 00005EA0 AssocQueryStringByKeyW
        591    8 00005CD0 AssocQueryStringW
        592    9 0000E910 ChrCmpIA
        593    A 0000E930 ChrCmpIW
        594    B 00019670 ColorAdjustLuma
        595    C 000092D0 ColorHLSToRGB
        607    D 000090E0 ColorRGBToHLS
        168    E 000076C0 ConnectToConnectionPoint
        569    F 000197B0 DelayLoadFailureHook
        608   10 0001FF70 DllGetClassObject
        609   11 0001FEA0 DllGetVersion
        270   12          GUIDFromStringW (forwarded to SHCORE.#200)
         14   13 0000E950 GetAcceptLanguagesA
         15   14 0000E970 GetAcceptLanguagesW
        610   15 00006E50 GetMenuPosFromID
        612   16 0000E990 HashData
        568   17 00012040 IStream_Copy
        184   18 00012060 IStream_Read
        512   19 00006CE0 IStream_ReadPidl
        596   1A 000017C0 IStream_ReadStr
        213   1B 00012080 IStream_Reset
        214   1C 000120A0 IStream_Size
        212   1D 000120E0 IStream_Write
        513   1E 00009DC0 IStream_WritePidl
        597   1F 000120C0 IStream_WriteStr
        169   20 00012100 IUnknown_AtomicRelease
        164   21 00008150 IUnknown_Exec
        256   22 00012120 IUnknown_GetSite
        172   23 00006940 IUnknown_GetWindow
        176   24 00009EF0 IUnknown_QueryService
        163   25 0001C1F0 IUnknown_QueryStatus
        199   26 00007260 IUnknown_Set
        174   27 00001A10 IUnknown_SetSite
        620   28 0000F770 IntlStrEqWorkerA
        622   29 0000F790 IntlStrEqWorkerW
        623   2A 0000EA30 IsCharSpaceA
         29   2B 00001490 IsCharSpaceW
        553   2C 0000EA70 IsInternetESCEnabled
        437   2D 00008110 IsOS
        377   2E 0001C5D0 MLLoadLibraryA
        378   2F 0001C5F0 MLLoadLibraryW
          1   30 0000EA90 ParseURLA
          2   31 00009590 ParseURLW
        624   32 000096C0 PathAddBackslashA
        625   33 00008050 PathAddBackslashW
        649   34 0000EAB0 PathAddExtensionA
        650   35 0000EAD0 PathAddExtensionW
        651   36 0000EAF0 PathAppendA
        652   37 0000EB10 PathAppendW
        653   38 00012140 PathBuildRootA
        654   39 000019D0 PathBuildRootW
        655   3A 0000EB30 PathCanonicalizeA
        656   3B 0000EB50 PathCanonicalizeW
        657   3C 0000EB70 PathCombineA
        658   3D 00001990 PathCombineW
        659   3E 0000EB90 PathCommonPrefixA
        660   3F 00007A80 PathCommonPrefixW
        661   40 000130E0 PathCompactPathA
        662   41 00013470 PathCompactPathExA
        663   42 000025F0 PathCompactPathExW
        664   43 00017AB0 PathCompactPathW
        665   44 0000EBB0 PathCreateFromUrlA
        666   45 0000EBD0 PathCreateFromUrlAlloc
        667   46 00007990 PathCreateFromUrlW
        668   47 00009ED0 PathFileExistsA
        446   48 000020D0 PathFileExistsAndAttributesW
        669   49 00009E50 PathFileExistsW
        670   4A 0000EBF0 PathFindExtensionA
        671   4B 00006E10 PathFindExtensionW
        672   4C 000017A0 PathFindFileNameA
        673   4D 00006FE0 PathFindFileNameW
