
Dump of file C:\Windows\System32\ucrtbased.dll

File Type: DLL

  Section contains the following exports for ucrtbased.dll

    00000000 characteristics
    B8B20920 time date stamp
        0.00 version
           1 ordinal base
        2547 number of functions
        2547 number of names

    ordinal hint RVA      name

          1    0 000D8150 _Cbuild
          2    1 000D7970 _Cmulcc
          3    2 000D7AA0 _Cmulcr
          4    3 0013CE90 _CreateFrameInfo
          5    4 00052AA0 _CrtCheckMemory
          6    5 000686E0 _CrtDbgReport
          7    6 00068760 _CrtDbgReportW
          8    7 00052C40 _CrtDoForAllClientObjects
          9    8 00052D80 _CrtDumpMemoryLeaks
         10    9 00052E40 _CrtGetAllocHook
         11    A 0006A400 _CrtGetDebugFillThreshold
         12    B 00052E50 _CrtGetDumpClient
         13    C 000689E0 _CrtGetReportHook
         14    D 00052E60 _CrtIsMemoryBlock
         15    E 00052FA0 _CrtIsValidHeapPointer
         16    F 00052FE0 _CrtIsValidPointer
         17   10 00053020 _CrtMemCheckpoint
         18   11 000532B0 _CrtMemDifference
         19   12 00053610 _CrtMemDumpAllObjectsSince
         20   13 00053670 _CrtMemDumpStatistics
         21   14 00053810 _CrtReportBlockType
         22   15 00053850 _CrtSetAllocHook
         23   16 00053880 _CrtSetBreakAlloc
         24   17 000538B0 _CrtSetDbgBlockType
         25   18 00053950 _CrtSetDbgFlag
         26   19 0006A410 _CrtSetDebugFillThreshold
         27   1A 00053AB0 _CrtSetDumpClient
         28   1B 000689F0 _CrtSetReportFile
         29   1C 00068B50 _CrtSetReportHook
         30   1D 000687E0 _CrtSetReportHook2
         31   1E 00068810 _CrtSetReportHookW2
         32   1F 00068B80 _CrtSetReportMode
         33   20 0013D270 _CxxThrowException
         34   21 000740F0 _Exit
         35   22 000D82F0 _FCbuild
         36   23 000D7D60 _FCmulcc
         37   24 000D7E10 _FCmulcr
         38   25 0013CF00 _FindAndUnlinkFrame
         39   26 0013CF90 _GetImageBase
         40   27 0013CFB0 _GetThrowImageBase
         41   28 00117C80 _Getdays
         42   29 00117F90 _Getmonths
         43   2A 001182B0 _Gettnames
         44   2B 0013D530 _IsExceptionObjectToBeDestroyed
         45   2C 000D8150 _LCbuild
         46   2D 000D7970 _LCmulcc
         47   2E 000D7AA0 _LCmulcr
         48   2F 0013CFD0 _SetImageBase
         49   30 0013D000 _SetThrowImageBase
         50   31 0013D590 _SetWinRTOutOfMemoryExceptionCallback
         51   32 001182D0 _Strftime
         52   33 00068D40 _VCrtDbgReportA
         53   34 00069720 _VCrtDbgReportW
         54   35 0011FCC0 _W_Getdays
         55   36 0011FFD0 _W_Getmonths
         56   37 001202E0 _W_Gettnames
         57   38 001214A0 _Wcsftime
         58   39 0013D5B0 __AdjustPointer
         59   3A 00141340 __BuildCatchObject
         60   3B 00142FA0 __BuildCatchObjectHelper
         61   3C 00143000 __C_specific_handler
         62   3D 00143480 __C_specific_handler_noexcept
         63   3E 001434F0 __CxxDetectRethrow
         64   3F 001435A0 __CxxExceptionFilter
         65   40 0013D030 __CxxFrameHandler
         66   41 0013D030 __CxxFrameHandler2
         67   42 0013D070 __CxxFrameHandler3
         68   43 0013D150 __CxxFrameHandler4
         69   44 001438D0 __CxxQueryExceptionSize
         70   45 001438E0 __CxxRegisterExceptionObject
         71   46 00143A60 __CxxUnregisterExceptionObject
         72   47 0013D3C0 __DestructExceptionObject
         73   48 0013D640 __FrameUnwindFilter
         74   49 0013D6D0 __GetPlatformExceptionInfo
