
Dump of file C:\Windows\System32\urlmon.dll

File Type: DLL

  Section contains the following exports for urlmon.dll

    00000000 characteristics
    79B60EE9 time date stamp
        0.00 version
         100 ordinal base
         506 number of functions
         131 number of names

    ordinal hint RVA      name

        121    0 0007F7A0 AsyncGetClassBits
        122    1 000C55A0 AsyncInstallDistributionUnit
        123    2 000B61B0 BindAsyncMoniker
        124    3 000E7FE0 CAuthenticateHostUI_CreateInstance
        125    4 000C5F00 CDLGetLongPathNameA
        126    5 000C5F20 CDLGetLongPathNameW
        127    6 00126A50 CORPolicyProvider
        128    7 000C5630 CoGetClassObjectFromURL
        129    8 000C5B40 CoInstall
        130    9 0006A1E0 CoInternetCanonicalizeIUri
        131    A 00035350 CoInternetCombineIUri
        132    B 00032410 CoInternetCombineUrl
        133    C 0001E6E0 CoInternetCombineUrlEx
        134    D 000FF050 CoInternetCompareUrl
        135    E 0001D6E0 CoInternetCreateSecurityManager
        136    F 00067550 CoInternetCreateZoneManager
        137   10 0011F280 CoInternetFeatureSettingsChanged
        138   11 000B8910 CoInternetGetMobileBrowserAppCompatMode
        139   12 000B8980 CoInternetGetMobileBrowserForceDesktopMode
        140   13 00078EB0 CoInternetGetProtocolFlags
        141   14 000FF110 CoInternetGetSecurityUrl
        142   15 0003A380 CoInternetGetSecurityUrlEx
        143   16 00069BC0 CoInternetGetSession
        144   17 00046CE0 CoInternetIsFeatureEnabled
        145   18 00046B20 CoInternetIsFeatureEnabledForIUri
        146   19 000469D0 CoInternetIsFeatureEnabledForUrl
        147   1A 000FF570 CoInternetIsFeatureZoneElevationEnabled
        148   1B 00079A50 CoInternetParseIUri
        149   1C 00038BA0 CoInternetParseUrl
        150   1D 00038660 CoInternetQueryInfo
        151   1E 000FF820 CoInternetSetFeatureEnabled
        152   1F 000B8A30 CoInternetSetMobileBrowserAppCompatMode
        153   20 000B8A80 CoInternetSetMobileBrowserForceDesktopMode
        154   21 00063AB0 CompareSecurityIds
        155   22 00068CC0 CompatFlagsFromClsid
        156   23 00068470 CopyBindInfo
        157   24 00068570 CopyStgMedium
        158   25 000B6260 CreateAsyncBindCtx
        159   26 0005D0A0 CreateAsyncBindCtxEx
        160   27 0006C380 CreateFormatEnumerator
        161   28 00072490 CreateIUriBuilder
        162   29 000B6350 CreateURLMoniker
        163   2A 00078130 CreateURLMonikerEx
        164   2B 00007280 CreateURLMonikerEx2
        165   2C 0006CF20 CreateUri
        166   2D 000B60D0 CreateUriFromMultiByteString
        167   2E 000B60F0 CreateUriPriv
        168   2F 000B6140 CreateUriWithFragment
        169   30 00073FD0 DllCanUnloadNow
        170   31 000726D0 DllGetClassObject
        171   32 000B6670 DllInstall
        172   33 000B6680 DllRegisterServer
        173   34 00078EB0 DllRegisterServerEx
        174   35 000B6690 DllUnregisterServer
        175   36 000C66C0 Extract
        176   37 0007CEF0 FaultInIEFeature
        109   38 00070C50 FileBearsMarkOfTheWeb
        177   39 000B6CA0 FindMediaType
        178   3A 0006BEF0 FindMediaTypeClass
        179   3B 0006B180 FindMimeFromData
        180   3C 0011F2B0 GetAddSitesFileUrl
        181   3D 00009130 GetClassFileOrMime
        182   3E 00078EB0 GetClassURL
        183   3F 000C7380 GetComponentIDFromCLSSPEC
        184   40 0001C940 GetIDNFlagsForUri
        185   41 00076860 GetIUriPriv
        186   42 000B6160 GetIUriPriv2
        187   43 0012D190 GetLabelsFromNamedHost
        188   44 00117760 GetMarkOfTheWeb
        110   45 000B6030 GetPortFromUrlScheme
        117   46 000B6050 GetPropertyFromName
        118   47 000B6070 GetPropertyName
        189   48 00078EB0 GetSoftwareUpdateInfo
        190   49 00100480 GetUrlmonThreadNotificationHwnd
        191   4A 00048160 GetZoneFromAlternateDataStreamEx
        192   4B 00108A50 HlinkGoBack
        193   4C 00108B20 HlinkGoForward
        194   4D 00108BF0 HlinkNavigateMoniker
        195   4E 00108C80 HlinkNavigateString
        196   4F 00108D10 HlinkSimpleNavigateToMoniker
        197   50 00109380 HlinkSimpleNavigateToString
        322   51 0010B340 IECompatLogCSSFix
        198   52 0010CEC0 IEGetUserPrivateNamespaceName
        199   53 000C5BE0 IEInstallScope
        200   54 000B6180 IntlPercentEncodeNormalize
        201   55 0006D1B0 IsAsyncMoniker
        119   56 000B6090 IsDWORDProperty
        202   57 0011F660 IsIntranetAvailable
        203   58 000767D0 IsJITInProgress
        204   59 0010A450 IsLoggingEnabledA
        205   5A 0010A5A0 IsLoggingEnabledW
        120   5B 000B60B0 IsStringProperty
        206   5C 000072A0 IsValidURL
        207   5D 000B6370 MkParseDisplayNameEx
        208   5E 000E81A0 ObtainUserAgentString
        209   5F 000C5BF0 PrivateCoInstall
        210   60 0007AE90 QueryAssociations
        211   61 000FD8D0 QueryClsidAssociation
        212   62 00036820 RegisterBindStatusCallback
        213   63 0006BEB0 RegisterFormatEnumerator
        214   64 000B6500 RegisterMediaTypeClass
        215   65 0007DF00 RegisterMediaTypes
        216   66 00136190 RegisterWebPlatformPermanentSecurityManager
        217   67 00054910 ReleaseBindInfo
        218   68 000754D0 RestrictHTTP2
        219   69 000365A0 RevokeBindStatusCallback
        220   6A 000B6620 RevokeFormatEnumerator
        221   6B 0010CEE0 SetAccessForIEAppContainer
        222   6C 00078EB0 SetSoftwareUpdateAdvertisementState
        223   6D 000E82E0 ShouldDisplayPunycodeForUri
        224   6E 00073020 ShouldShowIntranetWarningSecband
        225   6F 0011F850 ShowTrustAlertDialog
        226   70 000FF9A0 URLDownloadA
        227   71 00109C50 URLDownloadToCacheFileA
        228   72 0007B060 URLDownloadToCacheFileW
        229   73 00109DE0 URLDownloadToFileA
        230   74 00077CA0 URLDownloadToFileW
        231   75 000FFA10 URLDownloadW
        232   76 00109F40 URLOpenBlockingStreamA
        233   77 0010A030 URLOpenBlockingStreamW
        234   78 0010A140 URLOpenPullStreamA
        235   79 0010A210 URLOpenPullStreamW
        236   7A 0010A2E0 URLOpenStreamA
        237   7B 0010A3B0 URLOpenStreamW
        238   7C 00007DC0 UnregisterWebPlatformPermanentSecurityManager
        239   7D 000B67F0 UrlMkBuildVersion
        240   7E 00073C40 UrlMkGetSessionOption
        241   7F 0006C7B0 UrlMkSetSessionOption
        242   80 00074C20 UrlmonCleanupCurrentThread
        243   81 0010A4D0 WriteHitLogging
        244   82 00117C70 ZonesReInit
        100      0011F9F0 [NONAME]
        101      00076210 [NONAME]
        102      0010CB80 [NONAME]
        103      0010C790 [NONAME]
        104      0010C570 [NONAME]
        105      0010C7B0 [NONAME]
        106      0010CAF0 [NONAME]
        107      0010C4F0 [NONAME]
        108      0006DBE0 [NONAME]
        111      0010CCD0 [NONAME]
        112      00067290 [NONAME]
        113      00117850 [NONAME]
        114      00067470 [NONAME]
        115      0010CC00 [NONAME]
        116      0010C6E0 [NONAME]
        304      0010CE10 [NONAME]
        305      0010C010 [NONAME]
        306      0010B760 [NONAME]
        307      0010B5D0 [NONAME]
        308      0012C1D0 [NONAME]
        309      0010B870 [NONAME]
        310      0010C0E0 [NONAME]
        311      0010B230 [NONAME]
        312      0010B480 [NONAME]
