
Dump of file C:\Windows\System32\user32.dll

File Type: DLL

  Section contains the following exports for USER32.dll

    00000000 characteristics
    E1C9E1A1 time date stamp
        0.00 version
        1502 ordinal base
        1215 number of functions
        1005 number of names

    ordinal hint RVA      name

       1504    0 0002C660 ActivateKeyboardLayout
       1505    1 0002CE40 AddClipboardFormatListener
       1506    2 00033990 AddVisualIdentifier
       1507    3 00087AE0 AdjustWindowRect
       1508    4 000165D0 AdjustWindowRectEx
       1509    5 000103C0 AdjustWindowRectExForDpi
       1510    6 0008DA60 AlignRects
       1511    7 00087B50 AllowForegroundActivation
       1512    8 0002B6D0 AllowSetForegroundWindow
       1513    9 000824C0 AnimateWindow
       1514    A 00083260 AnyPopup
       1515    B 0008B360 AppendMenuA
       1516    C 0001FA80 AppendMenuW
       1517    D 000292A0 AreDpiAwarenessContextsEqual
       1518    E 00087B70 ArrangeIconicWindows
       1519    F 000339A0 AttachThreadInput
       1520   10 00029DE0 BeginDeferWindowPos
       1521   11 000339C0 BeginPaint
       1522   12 000339D0 BlockInput
       1523   13 00031210 BringWindowToTop
       1524   14 0008B3C0 BroadcastSystemMessage
       1525   15 0008B3C0 BroadcastSystemMessageA
       1526   16 0008B3F0 BroadcastSystemMessageExA
       1527   17 00089100 BroadcastSystemMessageExW
       1528   18 0002AD50 BroadcastSystemMessageW
       1529   19 00032700 BuildReasonArray
       1530   1A 000339F0 CalcMenuBar
       1531   1B 00033A00 CalculatePopupWindowPosition
       1532   1C 000845A0 CallMsgFilter
       1533   1D 000845A0 CallMsgFilterA
       1534   1E 0008A910 CallMsgFilterW
       1535   1F 00001FA0 CallNextHookEx
       1536   20 0004FF50 CallWindowProcA
       1537   21 0000E460 CallWindowProcW
       1538   22 00056AB0 CancelShutdown
       1539   23 00087B90 CascadeChildWindows
       1540   24 000779E0 CascadeWindows
       1541   25 00085AC0 ChangeClipboardChain
       1542   26 000846C0 ChangeDisplaySettingsA
       1543   27 00030EB0 ChangeDisplaySettingsExA
       1544   28 00027030 ChangeDisplaySettingsExW
       1545   29 0008A9D0 ChangeDisplaySettingsW
       1546   2A 00077CD0 ChangeMenuA
       1547   2B 00077D80 ChangeMenuW
       1548   2C 0002B140 ChangeWindowMessageFilter
       1549   2D 00033A20 ChangeWindowMessageFilterEx
       1555   2E 0002CCD0 CharLowerA
       1556   2F 00085AE0 CharLowerBuffA
       1557   30 00085B00 CharLowerBuffW
       1558   31 00031D40 CharLowerW
       1559   32 0002B060 CharNextA
       1560   33 00085B20 CharNextExA
       1561   34 0002BB00 CharNextW
       1562   35 00001E20 CharPrevA
       1563   36 00085B40 CharPrevExA
       1564   37 00085B60 CharPrevW
       1565   38 00028580 CharToOemA
       1566   39 0007CC00 CharToOemBuffA
       1567   3A 0007CC50 CharToOemBuffW
       1568   3B 0007CCB0 CharToOemW
       1569   3C 00029780 CharUpperA
       1570   3D 00085B80 CharUpperBuffA
       1571   3E 00001360 CharUpperBuffW
       1572   3F 00026B40 CharUpperW
       1573   40 0002CEB0 CheckBannedOneCoreTransformApi
       1574   41 00021CC0 CheckDBCSEnabledExt
       1575   42 00001B60 CheckDlgButton
       1576   43 0001F7B0 CheckMenuItem
       1577   44 00001910 CheckMenuRadioItem
       1578   45 00033A30 CheckProcessForClipboardAccess
       1579   46 00033A40 CheckProcessSession
       1580   47 00001380 CheckRadioButton
       1581   48 00033A50 CheckWindowThreadDesktop
       1582   49 00087BC0 ChildWindowFromPoint
