
Dump of file C:\Windows\System32\vccorlib140.dll

File Type: DLL

  Section contains the following exports for vccorlib140.DLL

    00000000 characteristics
    60FF2A63 time date stamp Mon Jul 26 23:34:27 2021
        0.00 version
           1 ordinal base
         256 number of functions
         256 number of names

    ordinal hint RVA      name

          1    0 00019330 ?<Dispose>@Exception@Platform@@UE$AAAXXZ
          2    1 00001130 ?<Dispose>@String@Platform@@UE$AAAXXZ
          3    2 00024480 ?<Dispose>@Type@Platform@@UE$AAAXXZ
          4    3 00019BA0 ??0AccessDeniedException@Platform@@QE$AAA@PE$AAVString@1@@Z
          5    4 00019B40 ??0AccessDeniedException@Platform@@QE$AAA@XZ
          6    5 00001480 ??0Attribute@Metadata@Platform@@QE$AAA@XZ
          7    6 00002010 ??0Boolean@Platform@@QEAA@_N@Z
          8    7 000196B0 ??0COMException@Platform@@QE$AAA@H@Z
          9    8 00019710 ??0COMException@Platform@@QE$AAA@HPE$AAVString@1@@Z
         10    9 00019DE0 ??0ChangedStateException@Platform@@QE$AAA@PE$AAVString@1@@Z
         11    A 00019D80 ??0ChangedStateException@Platform@@QE$AAA@XZ
         12    B 00019F60 ??0ClassNotRegisteredException@Platform@@QE$AAA@PE$AAVString@1@@Z
         13    C 00019F00 ??0ClassNotRegisteredException@Platform@@QE$AAA@XZ
         14    D 000175B0 ??0Delegate@Platform@@QE$AAA@XZ
         15    E 0001A020 ??0DisconnectedException@Platform@@QE$AAA@PE$AAVString@1@@Z
         16    F 00019FC0 ??0DisconnectedException@Platform@@QE$AAA@XZ
         17   10 0001CD00 ??0Enum@Platform@@QE$AAA@XZ
         18   11 00019090 ??0Exception@Platform@@QE$AAA@H@Z
         19   12 00019190 ??0Exception@Platform@@QE$AAA@HPE$AAVString@1@@Z
         20   13 00019C60 ??0FailureException@Platform@@QE$AAA@PE$AAVString@1@@Z
         21   14 00019C00 ??0FailureException@Platform@@QE$AAA@XZ
         22   15 000041D0 ??0GridLength@Xaml@UI@Windows@@QEAA@NW4GridUnitType@123@@Z
         23   16 00004220 ??0IntPtr@Platform@@QEAA@H@Z
         24   17 00002530 ??0IntPtr@Platform@@QEAA@PEAX@Z
         25   18 000198A0 ??0InvalidArgumentException@Platform@@QE$AAA@PE$AAVString@1@@Z
         26   19 00019840 ??0InvalidArgumentException@Platform@@QE$AAA@XZ
         27   1A 00019960 ??0InvalidCastException@Platform@@QE$AAA@PE$AAVString@1@@Z
         28   1B 00019900 ??0InvalidCastException@Platform@@QE$AAA@XZ
         29   1C 000015D0 ??0MTAThreadAttribute@Platform@@QE$AAA@XZ
         30   1D 00019AE0 ??0NotImplementedException@Platform@@QE$AAA@PE$AAVString@1@@Z
         31   1E 00019A80 ??0NotImplementedException@Platform@@QE$AAA@XZ
         32   1F 00019A20 ??0NullReferenceException@Platform@@QE$AAA@PE$AAVString@1@@Z
         33   20 000199C0 ??0NullReferenceException@Platform@@QE$AAA@XZ
         34   21 0001C750 ??0Object@Platform@@QE$AAA@XZ
         35   22 0001A1A0 ??0ObjectDisposedException@Platform@@QE$AAA@PE$AAVString@1@@Z
         36   23 0001A140 ??0ObjectDisposedException@Platform@@QE$AAA@XZ
         37   24 00001660 ??0OnePhaseConstructedAttribute@CompilerServices@Runtime@Platform@@QE$AAA@XZ
         38   25 00019EA0 ??0OperationCanceledException@Platform@@QE$AAA@PE$AAVString@1@@Z
         39   26 00019E40 ??0OperationCanceledException@Platform@@QE$AAA@XZ
         40   27 00019D20 ??0OutOfBoundsException@Platform@@QE$AAA@PE$AAVString@1@@Z
         41   28 00019CC0 ??0OutOfBoundsException@Platform@@QE$AAA@XZ
