
Dump of file C:\Windows\System32\vccorlib140d.dll

File Type: DLL

  Section contains the following exports for vccorlib140d.DLL

    00000000 characteristics
    602479D1 time date stamp Thu Feb 11 01:26:57 2021
        0.00 version
           1 ordinal base
         256 number of functions
         256 number of names

    ordinal hint RVA      name

          1    0 0003EA20 ?<Dispose>@Exception@Platform@@UE$AAAXXZ
          2    1 00064140 ?<Dispose>@String@Platform@@UE$AAAXXZ
          3    2 000643B0 ?<Dispose>@Type@Platform@@UE$AAAXXZ
          4    3 0003FE10 ??0AccessDeniedException@Platform@@QE$AAA@PE$AAVString@1@@Z
          5    4 0003FEA0 ??0AccessDeniedException@Platform@@QE$AAA@XZ
          6    5 000017E0 ??0Attribute@Metadata@Platform@@QE$AAA@XZ
          7    6 00002F50 ??0Boolean@Platform@@QEAA@_N@Z
          8    7 0003FF30 ??0COMException@Platform@@QE$AAA@H@Z
          9    8 0003FFC0 ??0COMException@Platform@@QE$AAA@HPE$AAVString@1@@Z
         10    9 00040050 ??0ChangedStateException@Platform@@QE$AAA@PE$AAVString@1@@Z
         11    A 000400E0 ??0ChangedStateException@Platform@@QE$AAA@XZ
         12    B 00040170 ??0ClassNotRegisteredException@Platform@@QE$AAA@PE$AAVString@1@@Z
         13    C 00040200 ??0ClassNotRegisteredException@Platform@@QE$AAA@XZ
         14    D 00038A00 ??0Delegate@Platform@@QE$AAA@XZ
         15    E 00040290 ??0DisconnectedException@Platform@@QE$AAA@PE$AAVString@1@@Z
         16    F 00040320 ??0DisconnectedException@Platform@@QE$AAA@XZ
         17   10 0005CDF0 ??0Enum@Platform@@QE$AAA@XZ
         18   11 000403B0 ??0Exception@Platform@@QE$AAA@H@Z
         19   12 00040560 ??0Exception@Platform@@QE$AAA@HPE$AAVString@1@@Z
         20   13 00040860 ??0FailureException@Platform@@QE$AAA@PE$AAVString@1@@Z
         21   14 000408F0 ??0FailureException@Platform@@QE$AAA@XZ
         22   15 00002FA0 ??0GridLength@Xaml@UI@Windows@@QEAA@NW4GridUnitType@123@@Z
         23   16 00003060 ??0IntPtr@Platform@@QEAA@H@Z
         24   17 00003080 ??0IntPtr@Platform@@QEAA@PEAX@Z
         25   18 00040980 ??0InvalidArgumentException@Platform@@QE$AAA@PE$AAVString@1@@Z
         26   19 00040A10 ??0InvalidArgumentException@Platform@@QE$AAA@XZ
