
Dump of file C:\Windows\System32\wer.dll

File Type: DLL

  Section contains the following exports for wer.dll

    00000000 characteristics
    93E0183E time date stamp
        0.00 version
           1 ordinal base
         145 number of functions
         145 number of names

    ordinal hint RVA      name

         94    0 0005BAD0 CloseThreadWaitChainSession
         95    1 0005BB60 GetThreadWaitChain
         96    2 0005BD60 OpenThreadWaitChainSession
         97    3 0005BE80 RegisterWaitChainCOMCallback
         98    4 0005CB10 WerAddExcludedApplication
         99    5 00063110 WerFreeString
        100    6 0005CD00 WerRemoveExcludedApplication
        101    7 0005CEB0 WerReportAddDump
        102    8 0005D0A0 WerReportAddFile
        103    9 000118A0 WerReportCloseHandle
        104    A 0003B410 WerReportCreate
        105    B 0005D1E0 WerReportSetParameter
        106    C 0005D3F0 WerReportSetUIOption
        107    D 0005D4B0 WerReportSubmit
        108    E 00063120 WerStoreClose
        109    F 000631B0 WerStoreGetFirstReportKey
        110   10 00063300 WerStoreGetNextReportKey
        111   11 000634D0 WerStoreGetReportCount
        112   12 000634E0 WerStoreGetSizeOnDisk
        113   13 00063580 WerStoreOpen
        114   14 00063770 WerStorePurge
        115   15 000639C0 WerStoreQueryReportMetadataV1
        116   16 00063DA0 WerStoreQueryReportMetadataV2
        117   17 00064210 WerStoreQueryReportMetadataV3
        118   18 000646B0 WerStoreUploadReport
          1   19 0005C5C0 WerSysprepCleanup
          2   1A 0005C680 WerSysprepGeneralize
          3   1B 0005C7A0 WerUnattendedSetup
          4   1C 0005D980 WerpAddAppCompatData
        119   1D 00064990 WerpAddFile
        120   1E 00064A70 WerpAddFileBuffer
        121   1F 00064B70 WerpAddFileCallback
          5   20 0005DDF0 WerpAddIfRegisteredForAppLocalDump
          6   21 0005DFE0 WerpAddMemoryBlock
          7   22 00044E80 WerpAddRegisteredDataToReport
          8   23 0005E1B0 WerpAddRegisteredDumpsToReport
          9   24 0005E370 WerpAddRegisteredMetadataToReport
        122   25 00034A90 WerpAddTerminationReason
         10   26 0005E4D0 WerpArchiveReport
        123   27 000132E0 WerpAuxmdDumpProcessImages
        124   28 00044940 WerpAuxmdDumpRegisteredBlocks
        125   29 00048010 WerpAuxmdFree
        126   2A 00065D60 WerpAuxmdFreeCopyBuffer
        127   2B 000397E0 WerpAuxmdHashVaRanges
        128   2C 00065DA0 WerpAuxmdInitialize
        129   2D 00065ED0 WerpAuxmdMapFile
         11   2E 0005E7E0 WerpCancelUpload
         12   2F 0005E880 WerpCleanWer
         13   30 0005EAD0 WerpCloseStore
        130   31 00064C70 WerpCreateIntegratorReportId
         14   32 0005EB60 WerpCreateMachineStore
         15   33 0005EDA0 WerpDeleteReport
         16   34 00050100 WerpDestroyWerString
         17   35 00035260 WerpEnumerateStoreNext
         18   36 0004DC90 WerpEnumerateStoreStart
        131   37 00064D10 WerpExtractReportFiles
         19   38 0004DE00 WerpFlushImageCache
         20   39 0005EE10 WerpForceDeferredCollection
        132   3A 00064DD0 WerpFreeString
         21   3B 0005F040 WerpFreeUnmappedVaRanges
         22   3C 0005F1F0 WerpGetBucketId
         23   3D 0005F340 WerpGetDynamicParameter
         24   3E 0005F450 WerpGetEventType
         25   3F 0005F4D0 WerpGetExtendedDiagData
         26   40 0005F780 WerpGetFileByIndex
         27   41 0005F8A0 WerpGetFilePathByIndex
        133   42 00064E00 WerpGetIntegratorReportId
         28   43 0005F980 WerpGetLegacyBucketId
         29   44 0005FAD0 WerpGetLoadedModuleByIndex
