
Dump of file C:\Windows\System32\wininet.dll

File Type: DLL

  Section contains the following exports for WININET.dll

    00000000 characteristics
    C3D8BFF1 time date stamp
        0.00 version
         101 ordinal base
         326 number of functions
         298 number of names

    ordinal hint RVA      name

        107    0 00015E70 AppCacheCheckManifest
        113    1 0006EA90 AppCacheCloseHandle
        114    2 0019E6A0 AppCacheCreateAndCommitFile
        115    3 0019E740 AppCacheDeleteGroup
        119    4 0019E7D0 AppCacheDeleteIEGroup
        124    5 0006F7C0 AppCacheDuplicateHandle
        125    6 00026C70 AppCacheFinalize
        126    7 00028BB0 AppCacheFreeDownloadList
        127    8 00023E30 AppCacheFreeGroupList
        128    9 0019E860 AppCacheFreeIESpace
        129    A 0019E8F0 AppCacheFreeSpace
        130    B 00027380 AppCacheGetDownloadList
        131    C 00038300 AppCacheGetFallbackUrl
        132    D 00023E90 AppCacheGetGroupList
        133    E 00023BA0 AppCacheGetIEGroupList
        134    F 00024A30 AppCacheGetInfo
        135   10 000D6F60 AppCacheGetManifestUrl
        136   11 00036F50 AppCacheLookup
        137   12 0000E2F0 CommitUrlCacheEntryA
        138   13 00033AB0 CommitUrlCacheEntryBinaryBlob
        139   14 000D17A0 CommitUrlCacheEntryW
        140   15 0017B060 CreateMD5SSOHash
        141   16 0000DC60 CreateUrlCacheContainerA
        142   17 000D1930 CreateUrlCacheContainerW
        143   18 0000E4F0 CreateUrlCacheEntryA
        144   19 0000D9D0 CreateUrlCacheEntryExW
        145   1A 0000D9A0 CreateUrlCacheEntryW
        146   1B 0019FCB0 CreateUrlCacheGroup
        147   1C 001A7720 DeleteIE3Cache
        148   1D 0019FDE0 DeleteUrlCacheContainerA
        149   1E 00021D70 DeleteUrlCacheContainerW
        150   1F 0002DC70 DeleteUrlCacheEntry
        151   20 0002DC70 DeleteUrlCacheEntryA
        152   21 00022460 DeleteUrlCacheEntryW
        153   22 0019FF20 DeleteUrlCacheGroup
        154   23 00165530 DeleteWpadCacheForNetworks
        155   24 00165FB0 DetectAutoProxyUrl
        106   25 000DAB40 DispatchAPICall
        156   26 00143A30 DllCanUnloadNow
        157   27 000D97D0 DllGetClassObject
        158   28 000DAB30 DllInstall
        159   29 00143A60 DllRegisterServer
        160   2A 00143AA0 DllUnregisterServer
        161   2B 000363C0 FindCloseUrlCache
        162   2C 00029AC0 FindFirstUrlCacheContainerA
        163   2D 0002A320 FindFirstUrlCacheContainerW
        164   2E 001A0020 FindFirstUrlCacheEntryA
        165   2F 00008C10 FindFirstUrlCacheEntryExA
        166   30 000085D0 FindFirstUrlCacheEntryExW
        167   31 001A01A0 FindFirstUrlCacheEntryW
        168   32 001A0320 FindFirstUrlCacheGroup
        169   33 0002D4E0 FindNextUrlCacheContainerA
        170   34 00022110 FindNextUrlCacheContainerW
        171   35 001A0470 FindNextUrlCacheEntryA
        172   36 000093E0 FindNextUrlCacheEntryExA
        173   37 001A0620 FindNextUrlCacheEntryExW
        174   38 00009290 FindNextUrlCacheEntryW
        175   39 001A0800 FindNextUrlCacheGroup
        176   3A 0017B2A0 ForceNexusLookup
        177   3B 0017B2F0 ForceNexusLookupExW
        178   3C 001A0930 FreeUrlCacheSpaceA
        179   3D 001A0B90 FreeUrlCacheSpaceW
        180   3E 001510B0 FtpCommandA
        181   3F 00154E90 FtpCommandW
        182   40 001513D0 FtpCreateDirectoryA
        183   41 00155040 FtpCreateDirectoryW
        184   42 00151470 FtpDeleteFileA
