
Dump of file C:\Windows\System32\winmm.dll

File Type: DLL

  Section contains the following exports for WINMM.dll

    00000000 characteristics
    B8CA2D77 time date stamp
        0.00 version
           2 ordinal base
         181 number of functions
         180 number of names

    ordinal hint RVA      name

          4    0 00009820 CloseDriver
          5    1 00009840 DefDriverProc
          6    2 00009860 DriverCallback
          7    3 00009870 DrvGetModuleHandle
          8    4 00009890 GetDriverModuleHandle
          9    5 000098C0 OpenDriver
         10    6 000098B0 PlaySound
         11    7 00013200 PlaySoundA
         12    8 00001950 PlaySoundW
         13    9 000098E0 SendDriverMessage
         14    A 00014590 WOWAppExit
         15    B 00009900 auxGetDevCapsA
         16    C 00009920 auxGetDevCapsW
         17    D 00009940 auxGetNumDevs
         18    E 00009960 auxGetVolume
         19    F 00009980 auxOutMessage
         20   10 000099A0 auxSetVolume
         21   11 00005EF0 joyConfigChanged
         22   12 00005F60 joyGetDevCapsA
         23   13 00006220 joyGetDevCapsW
         24   14 00006330 joyGetNumDevs
         25   15 00006340 joyGetPos
         26   16 000063A0 joyGetPosEx
         27   17 000068D0 joyGetThreshold
         28   18 000076F0 joyReleaseCapture
         29   19 000077B0 joySetCapture
         30   1A 00007A20 joySetThreshold
         31   1B 00010980 mciDriverNotify
         32   1C 000109A0 mciDriverYield
          3   1D 0000B3C0 mciExecute
         33   1E 0000E7F0 mciFreeCommandResource
         34   1F 00010E50 mciGetCreatorTask
         35   20 00010ED0 mciGetDeviceIDA
         36   21 00010F30 mciGetDeviceIDFromElementIDA
         37   22 00010F90 mciGetDeviceIDFromElementIDW
         38   23 000110B0 mciGetDeviceIDW
         39   24 000110E0 mciGetDriverData
         40   25 0000C990 mciGetErrorStringA
         41   26 0000CAC0 mciGetErrorStringW
         42   27 00011190 mciGetYieldProc
         43   28 0000EA00 mciLoadCommandResource
         44   29 0000CDF0 mciSendCommandA
         45   2A 0000D690 mciSendCommandW
         46   2B 0000D7C0 mciSendStringA
         47   2C 0000D9F0 mciSendStringW
         48   2D 000117E0 mciSetDriverData
         49   2E 000118A0 mciSetYieldProc
         50   2F 000099C0 midiConnect
         51   30 000099E0 midiDisconnect
         52   31 00009A00 midiInAddBuffer
         53   32 00009A20 midiInClose
         54   33 00009A40 midiInGetDevCapsA
         55   34 00009A60 midiInGetDevCapsW
         56   35 00009A80 midiInGetErrorTextA
         57   36 00009AA0 midiInGetErrorTextW
         58   37 00009AC0 midiInGetID
         59   38 00009AE0 midiInGetNumDevs
         60   39 00009B00 midiInMessage
         61   3A 00009B20 midiInOpen
         62   3B 00009B40 midiInPrepareHeader
         63   3C 00009B60 midiInReset
         64   3D 00009B80 midiInStart
         65   3E 00009BA0 midiInStop
         66   3F 00009BC0 midiInUnprepareHeader
         67   40 00009BE0 midiOutCacheDrumPatches
         68   41 00009C00 midiOutCachePatches
         69   42 00009C20 midiOutClose
         70   43 00009C40 midiOutGetDevCapsA
         71   44 00009C60 midiOutGetDevCapsW
         72   45 00009C80 midiOutGetErrorTextA
         73   46 00009CA0 midiOutGetErrorTextW
         74   47 00009CC0 midiOutGetID
         75   48 00009CE0 midiOutGetNumDevs
         76   49 00009D00 midiOutGetVolume
         77   4A 00009D20 midiOutLongMsg
         78   4B 00009D40 midiOutMessage
         79   4C 00009D60 midiOutOpen
         80   4D 00009D80 midiOutPrepareHeader
         81   4E 00009DA0 midiOutReset
         82   4F 00009DC0 midiOutSetVolume
         83   50 00009DE0 midiOutShortMsg
