
Dump of file C:\Windows\System32\winsta.dll

File Type: DLL

  Section contains the following exports for WINSTA.dll

    00000000 characteristics
    C09C98C7 time date stamp
        0.00 version
           1 ordinal base
         175 number of functions
         175 number of names

    ordinal hint RVA      name

          2    0 000276C0 LogonIdFromWinStationNameA
          3    1 0001AA90 LogonIdFromWinStationNameW
          4    2 00027700 RemoteAssistancePrepareSystemRestore
          5    3 00027740 ServerGetInternetConnectorStatus
          6    4 00026970 ServerLicensingClose
          7    5 000269F0 ServerLicensingDeactivateCurrentPolicy
          8    6 00026AC0 ServerLicensingFreePolicyInformation
          9    7 00026B20 ServerLicensingGetAadInfo
         10    8 00026C40 ServerLicensingGetAvailablePolicyIds
         11    9 00026D50 ServerLicensingGetPolicy
         12    A 00026E40 ServerLicensingGetPolicyInformationA
         13    B 00026EB0 ServerLicensingGetPolicyInformationW
         14    C 00027030 ServerLicensingLoadPolicy
         15    D 00027060 ServerLicensingOpenA
         16    E 000270A0 ServerLicensingOpenW
         17    F 00027200 ServerLicensingSetAadInfo
         18   10 00027310 ServerLicensingSetPolicy
         19   11 00027030 ServerLicensingUnloadPolicy
         20   12 00027780 ServerQueryInetConnectorInformationA
         21   13 000277C0 ServerQueryInetConnectorInformationW
         22   14 00027800 ServerSetInternetConnectorStatus
         23   15 0002A8D0 WTSRegisterSessionNotificationEx
         24   16 0002A970 WTSUnRegisterSessionNotificationEx
         25   17 00027840 WinStationActivateLicense
         26   18 00027880 WinStationAutoReconnect
         27   19 000182A0 WinStationBroadcastSystemMessage
         28   1A 000278C0 WinStationCheckAccess
         29   1B 00027900 WinStationCheckLoopBack
         30   1C 000133B0 WinStationCloseServer
         31   1D 00027940 WinStationConnectA
         32   1E 000143B0 WinStationConnectAndLockDesktop
         33   1F 00027980 WinStationConnectCallback
         34   20 000279C0 WinStationConnectEx
         35   21 00014500 WinStationConnectW
         36   22 00018DA0 WinStationConsumeCacheSession
         37   23 000185A0 WinStationCreateChildSessionTransport
         38   24 0000AA80 WinStationDisconnect
         39   25 00014670 WinStationEnableChildSessions
         40   26 00014780 WinStationEnumerateA
         41   27 00014880 WinStationEnumerateContainerSessions
         42   28 0001AE30 WinStationEnumerateExW
         43   29 00027A00 WinStationEnumerateLicenses
         44   2A 000149A0 WinStationEnumerateProcesses
         45   2B 000054A0 WinStationEnumerateW
         46   2C 00027A40 WinStationEnumerate_IndexedA
         47   2D 00027A80 WinStationEnumerate_IndexedW
         48   2E 00017690 WinStationFreeConsoleNotification
         49   2F 00001590 WinStationFreeEXECENVDATAEX
         50   30 00014A60 WinStationFreeGAPMemory
         51   31 000016B0 WinStationFreeMemory
         52   32 00014AA0 WinStationFreePropertyValue
         53   33 00014B20 WinStationFreeUserCertificates
         54   34 00018ED0 WinStationFreeUserCredentials
         55   35 000010D0 WinStationFreeUserSessionInfo
         56   36 00027AC0 WinStationGenerateLicense
         57   37 00014B70 WinStationGetAllProcesses
         58   38 000045D0 WinStationGetAllSessionsEx
         59   39 0001B110 WinStationGetAllSessionsW
         60   3A 00003690 WinStationGetAllUserSessions
         61   3B 00014CE0 WinStationGetChildSessionId
         62   3C 000035C0 WinStationGetConnectionProperty
         63   3D 00002260 WinStationGetCurrentSessionCapabilities
         64   3E 00014E00 WinStationGetCurrentSessionConnectionProperty
         65   3F 00001110 WinStationGetCurrentSessionTerminalName
         66   40 00014F20 WinStationGetDeviceId
         67   41 00015090 WinStationGetInitialApplication
