
Dump of file C:\Windows\System32\ws2_32.dll

File Type: DLL

  Section contains the following exports for WS2_32.dll

    00000000 characteristics
    AFF3315B time date stamp
        0.00 version
           1 ordinal base
         500 number of functions
         195 number of names

    ordinal hint RVA      name

         25    0 00012910 FreeAddrInfoEx
         26    1 00012910 FreeAddrInfoExW
         27    2 000129F0 FreeAddrInfoW
         28    3 00022650 GetAddrInfoExA
         29    4 00022930 GetAddrInfoExCancel
         30    5 00013450 GetAddrInfoExOverlappedResult
         31    6 00003EB0 GetAddrInfoExW
         32    7 00005B20 GetAddrInfoW
         33    8 00025B20 GetHostNameW
         34    9 00007080 GetNameInfoW
         35    A 00013BE0 InetNtopW
         36    B 00021490 InetPtonW
         37    C 00022A30 SetAddrInfoExA
         38    D 00022BB0 SetAddrInfoExW
        500    E 00013650 WEP
         39    F 000318F0 WPUCompleteOverlappedRequest
         40   10 00013700 WPUGetProviderPathEx
         41   11 00011380 WSAAccept
         42   12 00006E40 WSAAddressToStringA
         43   13 00008BF0 WSAAddressToStringW
         44   14 000344E0 WSAAdvertiseProvider
        102   15 00025D10 WSAAsyncGetHostByAddr
        103   16 00025E40 WSAAsyncGetHostByName
        105   17 00025FA0 WSAAsyncGetProtoByName
        104   18 00026100 WSAAsyncGetProtoByNumber
        107   19 000261F0 WSAAsyncGetServByName
        106   1A 00026360 WSAAsyncGetServByPort
        101   1B 000114F0 WSAAsyncSelect
        108   1C 00026460 WSACancelAsyncRequest
        113   1D 00024240 WSACancelBlockingCall
        116   1E 00010410 WSACleanup
         45   1F 00012F00 WSACloseEvent
         46   20 00030130 WSAConnect
         47   21 00030260 WSAConnectByList
         48   22 00030A70 WSAConnectByNameA
         49   23 00030C80 WSAConnectByNameW
         50   24 00013260 WSACreateEvent
         58   25 00024D60 WSADuplicateSocketA
         59   26 00024DF0 WSADuplicateSocketW
         60   27 0002C670 WSAEnumNameSpaceProvidersA
         61   28 0002C710 WSAEnumNameSpaceProvidersExA
         62   29 0002C7B0 WSAEnumNameSpaceProvidersExW
         63   2A 00001C40 WSAEnumNameSpaceProvidersW
         64   2B 000118B0 WSAEnumNetworkEvents
         65   2C 00039590 WSAEnumProtocolsA
         66   2D 00039770 WSAEnumProtocolsW
         67   2E 00011980 WSAEventSelect
        111   2F 00012730 WSAGetLastError
         68   30 00002170 WSAGetOverlappedResult
         69   31 0002B280 WSAGetQOSByName
         70   32 0002C850 WSAGetServiceClassInfoA
         71   33 0002C970 WSAGetServiceClassInfoW
         72   34 0002CAE0 WSAGetServiceClassNameByClassIdA
         73   35 0002CDF0 WSAGetServiceClassNameByClassIdW
         74   36 00021530 WSAHtonl
         75   37 00021630 WSAHtons
         76   38 0002D0D0 WSAInstallServiceClassA
         77   39 0002D1A0 WSAInstallServiceClassW
         78   3A 00005360 WSAIoctl
        114   3B 000242D0 WSAIsBlocking
         79   3C 00031680 WSAJoinLeaf
         80   3D 0002D2F0 WSALookupServiceBeginA
         81   3E 00008D40 WSALookupServiceBeginW
         82   3F 0000A7E0 WSALookupServiceEnd
         83   40 0002D410 WSALookupServiceNextA
         84   41 0000BAE0 WSALookupServiceNextW
         85   42 0002D670 WSANSPIoctl
         86   43 00021750 WSANtohl
         87   44 00021850 WSANtohs
         88   45 0002E3F0 WSAPoll
         89   46 00034690 WSAProviderCompleteAsyncCall
         90   47 00039880 WSAProviderConfigChange
         91   48 00010500 WSARecv
         92   49 0002C030 WSARecvDisconnect
